id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14426987,Urban oasis: townhouse with patio and balcony,31367270,Brad,,Roxbury,42.32859,-71.09325,Entire home/apt,100,2,101,2020-02-16,1.55,1,0,0,STR-398204
14452500,1 Bedroom in prime North End,3387042,Nirmal,,North End,42.36845,-71.05356,Entire home/apt,110,91,18,2017-07-04,0.28,1,0,0,
14460344,"Friendly Single Bed near Harvard, BU & BC",89089164,Ellen,,Brighton,42.34396,-71.15144,Private room,80,91,8,2017-03-12,0.12,1,0,0,STR-409791
14470701,Renovated near Redline/Commuter Rail 4 Harvard MIT,18517776,Huggy,,Dorchester,42.30555,-71.0723,Private room,36,150,3,2017-09-06,0.05,31,365,0,
14472483,Sonder | Financial District | Stunning 2BR,12243051,,,Downtown,42.35883,-71.05442,Entire home/apt,175,30,86,2019-12-07,1.34,8,127,0,
14474114,Awesome Room near T,89230454,Asad,,Jamaica Plain,42.29463,-71.1158,Private room,45,91,9,2017-09-03,0.14,1,0,0,
14485918,Huge bed  and high ceiling room plus two closets.,67103816,Firlian,,Roxbury,42.3165,-71.09535,Private room,36,30,12,2021-12-11,0.20,7,133,3,
14531631,2 Purrfect Cat Co-Hosts Look Forward 2 Meeting U!,72882793,Drew & Liesl,,Jamaica Plain,42.30694,-71.10706,Entire home/apt,163,3,19,2021-10-05,0.33,1,0,3,STR-415715
14539326,Andrew Sq Room Close to T&Shops 2,18479599,Agnieszka,,Dorchester,42.32429,-71.05862,Private room,75,91,3,2017-08-03,0.05,8,365,0,
14566378,Convenient Location Private 1 Bdr 1st Floor Apt,25938192,Elena,,Jamaica Plain,42.31591,-71.11012,Entire home/apt,135,29,61,2021-12-04,1.36,2,228,5,STR-415069
14566386,Fully-Equipped Private 1 Bedroom 2nd Floor Apt,25938192,Elena,,Jamaica Plain,42.3174,-71.11014,Entire home/apt,149,29,149,2021-09-10,2.35,2,261,5,STR-415069
14573951,Welcoming 2 Bedroom Apt - Close proximity to MBTA,90309322,Kevin,,Jamaica Plain,42.29835,-71.11372,Entire home/apt,150,2,141,2021-12-13,2.24,1,157,31,STR-447572
